src/pokertool/active_learning.py:26: unused import 'heapq' (90% confidence, 1 line)
src/pokertool/api.py:72: unused import 'OAuth2PasswordBearer' (90% confidence, 1 line)
src/pokertool/api.py:72: unused import 'OAuth2PasswordRequestForm' (90% confidence, 1 line)
src/pokertool/api.py:82: unused import 'redis' (90% confidence, 1 line)
src/pokertool/api.py:84: unused import 'bcrypt' (90% confidence, 1 line)
src/pokertool/api.py:114: unused import 'SentryAsgiMiddleware' (90% confidence, 1 line)
src/pokertool/api.py:1522: unused import 'fusion_module' (90% confidence, 1 line)
src/pokertool/api.py:1568: unused import 'al_module' (90% confidence, 1 line)
src/pokertool/api.py:1613: unused import 'scraping_module' (90% confidence, 1 line)
src/pokertool/api_cache.py:36: unused import 'redis' (90% confidence, 1 line)
src/pokertool/api_client.py:400: unused variable 'exc_tb' (100% confidence, 1 line)
src/pokertool/api_langchain.py:18: unused import 'Body' (90% confidence, 1 line)
src/pokertool/api_versioning.py:23: unused import 'Header' (90% confidence, 1 line)
src/pokertool/async_scraper_executor.py:325: unused variable 'exc_tb' (100% confidence, 1 line)
src/pokertool/card_recognizer.py:194: unused variable 'deck_image' (100% confidence, 1 line)
src/pokertool/cli.py:118: unused import 'core' (90% confidence, 1 line)
src/pokertool/database.py:547: unused variable 'exc_tb' (100% confidence, 1 line)
src/pokertool/db_performance_monitor.py:443: unused variable 'exc_tb' (100% confidence, 1 line)
src/pokertool/desktop_independent_scraper.py:44: unused import 'ImageTk' (90% confidence, 1 line)
src/pokertool/desktop_independent_scraper.py:59: unused import 'win32con' (90% confidence, 1 line)
src/pokertool/desktop_independent_scraper.py:60: unused import 'win32api' (90% confidence, 1 line)
src/pokertool/desktop_independent_scraper.py:72: unused import 'AppKit' (90% confidence, 1 line)
src/pokertool/desktop_independent_scraper.py:73: unused import 'NSString' (90% confidence, 1 line)
src/pokertool/error_handling.py:70: unused import 'auto_log_errors' (90% confidence, 1 line)
src/pokertool/error_handling.py:70: unused import 'log_warning' (90% confidence, 1 line)
src/pokertool/gto_solver.py:55: unused import 'cpu_intensive' (90% confidence, 1 line)
src/pokertool/gto_solver.py:57: unused import 'cpu_intensive' (90% confidence, 1 line)
src/pokertool/gto_solver.py:73: unused variable 'det' (100% confidence, 1 line)
src/pokertool/gto_solver.py:75: unused variable 'det' (100% confidence, 1 line)
src/pokertool/gui_memory_profiler.py:186: unused variable 'tb' (100% confidence, 1 line)
src/pokertool/langchain_memory_service.py:27: unused import 'ConversationBufferMemory' (90% confidence, 1 line)
src/pokertool/langchain_memory_service.py:30: unused import 'ChatMessageHistory' (90% confidence, 1 line)
src/pokertool/leveling_war.py:309: unused variable 'hero_observations' (100% confidence, 1 line)
src/pokertool/live_decision_engine.py:45: unused import 'calculate_range_equity' (90% confidence, 1 line)
src/pokertool/live_decision_engine.py:52: unused import 'EnsembleSystem' (90% confidence, 1 line)
src/pokertool/live_decision_engine.py:459: unused variable 'force_recalculate' (100% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:69: unused import 'pd' (90% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:71: unused import 'GradientBoostingClassifier' (90% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:72: unused import 'LogisticRegression' (90% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:74: unused import 'classification_report' (90% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:74: unused import 'confusion_matrix' (90% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:75: unused import 'Pipeline' (90% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:76: unused import 'joblib' (90% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:95: unused import 'DataLoader' (90% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:95: unused import 'Dataset' (90% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:118: unused import 'cpu_intensive' (90% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:120: unused import 'cpu_intensive' (90% confidence, 1 line)
src/pokertool/ml_opponent_modeling.py:432: unused variable 'actual_action' (100% confidence, 1 line)
